"#";"Метка";"Значение";"Имя";"Количество"
"1";"C1";"18pF";"CAP_0805";"1"
"2";"C2";"30pF";"CAP_VARIABLE";"1"
"3";"C3, C4";"51pF";"CAP_0805";"2"
"4";"C5";"15pF";"CAP_0805";"1"
"5";"C6";"220pF";"CAP_0805";"1"
"6";"C7, C8, C9, C10, C12";"10uF";"CAP100RP";"5"
"7";"C11, C14, C16, C18, C20, C21, C22, C23, C24, C25, C26, C27, C29, C31, C33";"100nF";"CAP_0805";"15"
"8";"C13";"0.47uF";"CAP100RP";"1"
"9";"C15, C17, C32, C34";"1000uF";"CAP200RP";"4"
"10";"C19, C28";"100uF";"CAP100RP";"2"
"11";"C30";"330uF";"CAP100RP";"1"
"12";"CS1";"60 pin";"Famicom_60pin_slot";"1"
"13";"J1, J2";"";"HDR-1x3";"2"
"14";"JP1, JP4, JP5";"";"Famicom ExtPort";"3"
"15";"JP2, JP3";"";"DB9P Dendy";"2"
"16";"JP6";"";"HDR-1x5";"1"
"17";"JP7";"";"HDR-1x6";"1"
"18";"L1";"470uH";"IND_1210";"1"
"19";"P5";"PWR_LED";"DF4-2P-2C";"1"
"20";"P7";"RED";"RCJ-011";"1"
"21";"P8";"White";"RCJ-011";"1"
"22";"P9";"Yellow";"RCJ-011";"1"
"23";"P11";"DC";"PJ-017C_DS";"1"
"24";"PSW1";"SS12F44G5";"PS_SS12F44G5";"1"
"25";"Q1, Q2";"N-P-N";"2SC2785";"2"
"26";"QZ1";"26.601712";"HC49S";"1"
"27";"QZ2";"21.477272";"HC49S";"1"
"28";"R1, R3, R10, R13";"1.2K";"RES_0805";"4"
"29";"R2";"220K";"RES_0805";"1"
"30";"R4";"150K";"RES_0805";"1"
"31";"R5, R6, R50";"75R";"RES_0805";"3"
"32";"R7";"2.2K";"RES_0805";"1"
"33";"R8, R11";"220R";"RES_0805";"2"
"34";"R9, R12, R14, R17, R46";"510R";"RES_0805";"5"
"35";"R15, R16";"1K";"RES_0805";"2"
"36";"R18, R19, R21, R22";"4.7K";"RES_0805";"4"
"37";"R20, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R44, R45, R49";"10K";"RES_0805";"18"
"38";"R37, R38, R48";"1R0";"RES_0805";"3"
"39";"R47";"9k1";"RES_0805";"1"
"40";"RSW1";"SoftReset";"Famicom_Universal_Reset_Switch";"1"
"41";"U1";"RP2A03/UA6527P/UA6527";"FamicomCPU";"1"
"42";"U2";"RP2C02/UA6538/UA6528";"FamicomPPU";"1"
"43";"U3";"SN74HC139N";"SN74HC139N";"1"
"44";"U4";"SN74HC373N";"SN74LS373N";"1"
"45";"U5, U6";"6264/62256";"SRAM_6264/62256";"2"
"46";"U7, U8";"SN74HC368N";"SN74HC368N";"2"
"47";"U9";"7805";"LM7805CT";"1"
"48";"U10";"";"4558";"1"
"49";"U11";"";"THS7314";"1"
"50";"U5.1, U6.1";"2048 x 8 Static RAM";"FamicomSRAM_wide";"2"
"51";"VD1";"DF01S-T";"DF01S-T";"1"
