#;Напаяно;Значение;Имя;Метка;Количество;Корпус;Дополнительно
1;;18pF;CAP_0805;C1;1;CAP_0805;
2;;30pF;CAP_VARIABLE;C2;1;CAP_VARIABLE;
3;;51pF;CAP_0805;C3;1;CAP_0805;
4;;51pF;CAP_0805;C4;1;CAP_0805;
5;;15pF;CAP_0805;C5;1;CAP_0805;
6;;220pF;CAP_0805;C6;1;CAP_0805;
7;;10uF;CAP100RP;C7;1;CAPPR-2.54/5.08;
8;;10uF;CAP100RP;C8;1;CAPPR-2.54/5.08;
9;;10uF;CAP100RP;C9;1;CAPPR-2.54/5.08;
10;;10uF;CAP100RP;C10;1;CAPPR-2.54/5.08;
11;;100nF;CAP_0805;C11;1;CAP_0805;
12;;10uF;CAP100RP;C12;1;CAPPR-2.54/5.08;
13;;0.47uF;CAP100RP;C13;1;CAPPR-2.54/5.08;
14;;100nF;CAP_0805;C14;1;CAP_0805;
15;;1000uF;CAP200RP;C15;1;CAPPR-5.08/7.62;
16;;100nF;CAP_0805;C16;1;CAP_0805;
17;;1000uF;CAP200RP;C17;1;CAPPR-5.08/7.62;
18;;100nF;CAP_0805;C18;1;CAP_0805;
19;;100uF;CAP100RP;C19;1;CAPPR-2.54/5.08;
20;;100nF;CAP_0805;C20;1;CAP_0805;
21;;100nF;CAP_0805;C21;1;CAP_0805;
22;;100nF;CAP_0805;C22;1;CAP_0805;
23;;100nF;CAP_0805;C23;1;CAP_0805;
24;;100nF;CAP_0805;C24;1;CAP_0805;
25;;100nF;CAP_0805;C25;1;CAP_0805;
26;;100nF;CAP_0805;C26;1;CAP_0805;
27;;100nF;CAP_0805;C27;1;CAP_0805;
28;;100uF;CAP100RP;C28;1;CAPPR-2.54/5.08;
29;;100nF;CAP_0805;C29;1;CAP_0805;
30;;330uF;CAP100RP;C30;1;CAPPR-2.54/5.08;
31;;100nF;CAP_0805;C31;1;CAP_0805;
32;;1000uF;CAP200RP;C32;1;CAPPR-5.08/7.62;
33;;100nF;CAP_0805;C33;1;CAP_0805;
34;;1000uF;CAP200RP;C34;1;CAPPR-5.08/7.62;
35;;60 pin;Famicom_60pin_slot;CS1;1;Famicom_60Pin;Слот для картриджа
36;;;HDR-1x3;J1;1;HDR-1x3;
37;;;HDR-1x3;J2;1;HDR-1x3;
38;;;Famicom ExtPort;JP1;1;DB15 Dendy Factory Short;Порт расширения Фамикома (Нет на плате)
39;;;DB9P Dendy;JP2;1;DB9 Dendy Factory short;Порт 2го Игрока узкий разьем (Нет на плате)
40;;;DB9P Dendy;JP3;1;DB9 Dendy Factory short;Порт 1го Игрока узкий разьем (Нет на плате)
41;;;Famicom ExtPort;JP4;1;DB15 Dendy Factory Short;
42;;;Famicom ExtPort;JP5;1;DB15 Dendy Factory Short;
43;;;HDR-1x5;JP6;1;HDR-1x5;
44;;;HDR-1x6;JP7;1;HDR-1x6;
45;;470uH;IND_1210;L1;1;IND_1210;
46;;PWR_LED;DF4-2P-2C;P5;1;DF4-2P-2C;
47;;RED;RCJ-011;P7;1;RCJ-011;
48;;White;RCJ-011;P8;1;RCJ-011;
49;;Yellow;RCJ-011;P9;1;RCJ-011;
50;;DC;PJ-017C_DS;P11;1;PJ-017C_DS;
51;;SS12F44G5;PS_SS12F44G5;PSW1;1;PS_SS12F44G5;
52;;C2785;C2785;Q1;1;TO-92;Может быть заменен на c945
53;;C2785;C2785;Q2;1;TO-92;Может быть заменен на c945
54;;26.601712 MHz;HC49S;QZ1;1;HC-49U;
55;;21.47727 MHz;HC49S;QZ2;1;HC-49U;
56;;1.2K;RES_0805;R1;1;RES_0805;
57;;220K;RES_0805;R2;1;RES_0805;
58;;1.2K;RES_0805;R3;1;RES_0805;
59;;150K;RES_0805;R4;1;RES_0805;
60;;75R;RES_0805;R5;1;RES_0805;
61;;75R;RES_0805;R6;1;RES_0805;
62;;2.2K;RES_0805;R7;1;RES_0805;
63;;220R;RES_0805;R8;1;RES_0805;
64;;510R;RES_0805;R9;1;RES_0805;
